Index,SMILES,Error
0,CC(NC(=O)N1CCC(CN(Cc1cc1nc1nc1c1nc1C,MolFromSmiles returned None (unknown parse issue)
1,COc1ccc(Nc2nc3c(ccn2C1CC1C#C(C)C1,MolFromSmiles returned None (unknown parse issue)
2,O=C(N/1=C(C(NC2CC(Cc2ccccn1CC1,MolFromSmiles returned None (unknown parse issue)
3,Clc1cc(NC[C2(CN2C(c3cccnc2nCC1,MolFromSmiles returned None (unknown parse issue)
4,O=C(NC1CC(C(c2cccc3nccnc11,MolFromSmiles returned None (unknown parse issue)
5,CC(C(CN(C(C(CCC(OCC(CC1CCCC1)C(C(NC(C)11C(C(C)(C)11C(C1)C1CCC(C)1C1,MolFromSmiles returned None (unknown parse issue)
6,Cc1c(CC(C(N2C(NC(C2CC2)c2cn1CC1(CC(C)C1,MolFromSmiles returned None (unknown parse issue)
7,O=C(NC1CC((C(=O)c2c1cn1C1C2CC3(C(O)C1,MolFromSmiles returned None (unknown parse issue)
8,O=C(NC1C(CC(N(c2ccccn2CC1)c1cncc1,MolFromSmiles returned None (unknown parse issue)
9,CN(c1ccc(Nc2nc(CCCC1CCN(C(CC2CCC2n1cc1,MolFromSmiles returned None (unknown parse issue)
10,CC(C(=NNN1CCC(C(C(C(c2cccnc1)CC1)c1cc(NC(C)(C1,MolFromSmiles returned None (unknown parse issue)
11,O=C(Nc1cnc(CNC1CC(C(C(Cc2ccccn2C1,MolFromSmiles returned None (unknown parse issue)
12,O=NN(C(CC1C(C(C2CC2C(C(CS(C(=O)O1C1CCC1(CC1)C1,MolFromSmiles returned None (unknown parse issue)
13,CN(C(S)Nc1nn(C1CC(C(C(C(N2CC1c1n1C,MolFromSmiles returned None (unknown parse issue)
14,O=c1c(C(NC(c2ccccc2CCC1)C1CCC(C(C(=O)N1,MolFromSmiles returned None (unknown parse issue)
15,CNC(C(N)N(C1NS(N1(C)(C)11CC1(C)C1,MolFromSmiles returned None (unknown parse issue)
16,CC(C(=O)NC1CCC(C(c2ccccn2CC1,MolFromSmiles returned None (unknown parse issue)
17,COc1cc(NC(=O)C(NC2CCN(c2ccccc2CC1,MolFromSmiles returned None (unknown parse issue)
18,O=C(NC1CC(OC(C(c2cc3ccccc2CC1)c1nnc1,MolFromSmiles returned None (unknown parse issue)
