index,smiles
0,C.C.C1OC12C13C45N6C78C9%10C%11%12OC%119C9%11C%13%14N%15C%16%17C%18%19OC%18%16C%16%18C%19%17C%17%19C%10(C6%10C71C%101C%124C58C231)C91C23C%15%13C%164C2%17C%14%18C4%19C%1131
1,CCC1C2C3C14C21C32C43C24C2(C56OC78C9%10C%11%12OC%11%13N%11C%14(OC9%15N%12C%15%10C9%10C7%12C52C89C6%12%10)SC%11%14%13)C25C67C48C13C81C26C517
2,CC12N3C45C36C37C89C%10%11C%12%13N%14C%12%15N%12C%15%16C%15%17C%14%18C%14%19C%20(Cl)C%18%14C%19%14C%13(C%12%15C%108C8(C%16%119)C69C36C43C14C51C2(C)C14C36C798)C%20%17%14.CO
3,CC12C3C45CC6(N7C48C74C67C84C74C67C8(Cl)OC9%10C%11%12C%13%14OC%15%16C86C%15(C%16%11C%139%12)C%107C67C89N%10C%148C98C%106C874)C14C(C5N)C324
4,CC.CCC.ClC12C3(C45N6C78C69C76C84C956)C14C15C23C12C13C67OOC89CC%10%11C8C8(C%12(ON%12C%1068)OC16C31C65C412)C9%117
5,FC12C34C56OC57C65OC75C15C23C41C23C46OC78C9%10C7%11C87C98C9%12C%13C%14C%15%16CC%15(C%16)C9(C(C%14%13%12)C49C%114C6%11C46C92C%116C531)C%1078
6,CC12SC34C56C1C21C35C23C46C24C25C6(OC67C68C9%10N%11C%12%13C%14%15C9(N9C%16%17C9(C9%18C%19%20SC9%21C%19%16C%20%21%18)C%17%10%14)C%129C7%10C%11(C%136%15)C8%109)C12C534
7,CC12C34C15C21C32C3(C67OC89C6%10OC6%11OC6%12N6C%11%13OC%11%14C%15%16C%13%17OC%12(C6%12C%108C%126C58C95C73C568)C35C%176C%117C%14%15C%168C73C658)C412
8,CN1CCC2C34C25C13C12OC3(C67OC89OC6%10C6%11OC%12(O6)C86C8%13C9%14C%128C%10%13C68C%113C7%148)C36C7(O1)C18C9(C)C45C93C21C786
9,C.CC12C34C56C7C38C73C47C54C16C24C71C82C34C13C15C67N8C9%10N%11C89C%108C9%10SC%12(C91C%10%12C61C36C23C52C46C132)C12C%113C71C382
10,CC12CC34OC56C13C25C12OC35N7C89N%10C%11%12OC%13%14OC%15(C7%16C7%17N%18C%19%20C43C73C4(C%181C%16%19C%1734)C26%20)C12C%10%11C58C%151C92C%131OC%14%121
11,O1C23C14C15C67OC89C6(OC71C2(N1C26C17C21C2%10C%11%12N%13N%14C%11%15C%13%12C%11%12C%14%15C2%13C7%10C%11%13C61%12)C345)C12C83C45C6OC47C54C63C91C742
12,NCC1C2C34CC35C36N(C143)C26C12C34C56C13C13C65C67C89C%10%11OC%10%12C%10%13C%14%15C%16%17OC%16%14C8%14C%17%15C%148C%109C%129C(C%11%136)(C987)C16C24C563
13,O1SC23C45N6C4(N4C78C9%10OC9%11C9%12C7%13C48C47C%10(C%118C%10%11C%14%15C%16C%17C%16C%14(C%17%15)C%14%15C%10%16C%11%14C%158%16)C94C%13%127)C25C62C45OC16C41C53C621
14,C.CC1C2(C)C3(C)C45OC46C54SC45C47OC8(C65C123)C41C23C14C15C6(C9%10OC%11%12C9%13C9%14C%116C96C%139C%14%11C%12%10C%1196)C46C21C78C356
15,C.C1CC2C34N5C23C4(C1)N1C52C13C14C56C78C9(OC97C57C25C12C51C35C74C521)C12N3C45C17C41C49C3%10C3%11C28C56C14C%103C7%119
16,C.CC1C2C13CC14N5C67C89N%10C%11%12C%13%14OC%15%16C%17%18C%10%11C%12%10C(O%13)(C%11(C5%10%17)C36C28C17C49%11)C12C%14%15C13C14OOC56ON1C54C63C%16%182
17,C123C45C67C48C49C%10%11C46C14C2(C35C%1094)C%1178.C1C2C34C56C7C15C15C26C31C1(C745)C23C14C21C25C36C23C45C62C14C15C36C23C42C61C352
18,COC12NOC13C21C24N5C6(ON7C58C75C79C%10%11N%12C%13%14N%15N%16C%17%18OC%15%17C%16%13C%13%15C%12%14C%18%13C%15%12C8%10C57C%119%12)OC25C62C54C312.NO
